Method,SSIM,PTVH layer1,PTVH layer2,PTVH layer3,PTVH layer4,FID,PSNR,ExpTimestamp
PyrmidP2P,0.21038919345034013,0.5934,0.5358,0.4386,0.874,157.92614093752573,13.876114521741059,2025-04-06 12:39:48.972
ASP_ori,0.20452656544527656,0.4331,0.4022,0.2656,0.8223,41.02723629037092,13.955369411363668,2025-04-06 15:00:49.532
PyrmidP2P_100ep,0.2511773663053984,0.549,0.4966,0.3772,0.8591,120.69333428463926,14.556310026203242,2025-04-10 10:29:05.171 
ASP_baseline_30ep,0.22312666216779647,0.5099,0.4597,0.3015,0.8301,66.67497549077189,14.337183153087295,2025-04-10 11:04:31.328 
CUT_baseline,0.19673211745405467,0.4951,0.4451,0.3092,0.8367,63.808355572245034,13.30699505773562,2025-04-10 11:27:54.072
ASP_baseline,0.21070139656961925,0.482,0.4535,0.2915,0.8361,66.88313806579077,14.174678664884091,2025-04-11 11:04:13.958
PPT_baseline,0.18379993956998802,0.526,0.4922,0.3648,0.86,92.2852149322539,13.628142489526843,2025-04-11 16:58:26.056
Pix2Pix_baseline,0.2311162831405006,0.5993,0.5575,0.443,0.8763,169.03743322074686,13.946130649679564,2025-04-16 19:15:31.804
PyrmidP2P_baseline,0.24605117093289794,0.6148,0.5825,0.4648,0.8786,197.63230736966048,15.001600999299242,2025-04-18 20:47:06.698
ASP_baseline,0.19639648473968765,0.5349,0.4668,0.302,0.8379,55.99931530866502,13.299691327393944,2025-04-21 18:27:15.366
CUT_baseline,0.18963328585223663,0.4799,0.4349,0.3035,0.8366,68.73864059380753,13.74626646876334,2025-04-22 19:01:21.740
Pix2Pix_baseline,0.2289928923839883,0.6271,0.5732,0.4166,0.8666,131.6133250651182,14.876086624832356,2025-04-23 10:29:17.470
TDKStain_baseline,0.2415838435251978,0.5422,0.5085,0.3587,0.85,99.1620497603144,14.46655952173719,2025-04-23 11:30:20.732
PPT_baseline,0.15756163572164983,0.6171,0.5525,0.368,0.8674,77.87685740242028,12.574133425581875,2025-04-23 16:50:57.388
tdkstain_baseline,0.19982565580258804,0.4221,0.4079,0.3242,0.8385,72.94790021523409,13.783563897952359,2025-04-24 14:59:13.801
QSAttn_baseline,0.16506575192342424,0.5356,0.4698,0.3119,0.84,78.57148851236616,13.050120025409733,2025-04-25 11:02:41.303
SIMGAN_baseline,0.20527691722898786,0.4652,0.4249,0.2882,0.8302,73.2645388425799,13.701761377121294,2025-04-27 15:20:38.326
NEGCUT_baseline,0.19826403479742682,0.4772,0.4286,0.2919,0.8336,54.51085395477986,13.423355218682271,2025-04-28 11:12:00.245
